33.01.01.2001                                                                             1 Tambakreja
33.01.14.2007                                                                        7 Bener
33.01.14.2008                                                                        8 Boja
33.01.14.2009                                                                        9 Ujungbarang
33.01.14.2010                                                                       10 Pengadegan
33.01.14.2011                                                                       11 Sepatnunggal
33.01.14.2012                                                                       12 Sadabumi
33.01.14.2013                                                                       13 Sadahayu
33.01.14.2014                                                                       14 Mulyadadi
33.01.14.2015                                                                       15 Padangjaya
33.01.14.2016                                                                       16 Padangsari
33.01.14.2017                                                                       17 Mulyasari
33.01.15.2001                                                                        1 Tarisi
33.01.15.2002                                                                        2 Bantar
33.01.15.2003                                                                        3 Wanareja
33.01.15.2004                                                                        4 Limbangan
33.01.15.2005                                                                        5 Malabar
33.01.15.2006                                                                        6 Majingklak
33.01.15.2007                                                                        7 Madura
33.01.15.2008                                                                        8 Tambaksari
33.01.15.2009                                                                        9 Palugon
33.01.15.2010                                                                       10 Cigintung
33.01.15.2011                                                                       11 Jambu
33.01.15.2012                                                                       12 Adimulya
33.01.15.2013                                                                       13 Sidamulya
33.01.15.2014                                                                       14 Cilongkrang
33.01.15.2015                                                                       15 Purwasari
33.01.15.2016                                                                       16 Madusari
33.01.16.2001                                                                        1 Panulisan
33.01.16.2002                                                                        2 Matenggeng
33.01.16.2003                                                                        3 Ciwalen
33.01.16.2004                                                                        4 Dayeuhluhur
33.01.16.2005                                                                        5 Hanum
33.01.16.2006                                                                        6 Datar
33.01.16.2007                                                                        7 Bingkeng
33.01.16.2008                                                                        8 Bolang
33.01.16.2009                                                                        9 Kutaagung
33.01.16.2010                                                                       10 Cijeruk
33.01.16.2011                                                                       11 Cilumping
33.01.16.2012                                                                       12 Sumpinghayu
33.01.16.2013                                                                       13 Panulisan Barat
33.01.16.2014                                                                       14 Panulisan Timur
33.01.17.2001                                                                        1 Karangtengah
33.01.17.2002                                                                        2 Brani
33.01.17.2003                                                                        3 Sampang
33.01.17.2004                                                                        4 Sidasari
33.01.17.2005                                                                        5 Paketingan
33.01.17.2006                                                                        6 Ketanggung
33.01.17.2007                                                                        7 Nusajati
33.01.17.2008                                                                        8 Karangjati
33.01.17.2009                                                                        9 Paberasan
33.01.17.2010                                                                       10 Karangasem
33.01.18.2001                                                                        1 Caruy
33.01.18.2002                                                                        2 Segaralangu
33.01.18.2003                                                                        3 Pegadingan
33.01.18.2004                                                                        4 Cisuru
33.01.18.2005                                                                        5 Cipari
33.01.18.2006                                                                                    6 Serang
33.01.18.2007                                                                                    7 Mulyadadi
33.01.18.2008                                                                                    8 Mekarsari
33.01.18.2009                                                                                    9 Kutasari
33.01.18.2010                                                                                   10 Karangreja
33.01.18.2011                                                                                   11 Sidasari
33.01.19.2001                                                                                    1 Patimuan
33.01.19.2002                                                                                    2 Rawaapu
33.01.19.2003                                                                                    3 Sidamukti
33.01.19.2004                                                                                    4 Purwadadi
33.01.19.2005                                                                                    5 Cinyawang
33.01.19.2006                                                                                    6 Bulupayung
33.01.19.2007                                                                                    7 Cimrutu
33.01.20.2001                                                                                    1 Binangun
33.01.20.2002                                                                                    2 Bantarsari
33.01.20.2003                                                                                    3 Cikedondong
33.01.20.2004                                                                                    4 Kedungwadas
33.01.20.2005                                                                                    5 Citembong
33.01.20.2006                                                                                    6 Kamulyan
33.01.20.2007                                                                                    7 Rawajaya
33.01.20.2008                                                                                    8 Bulaksari
33.01.21.1001                                                          1 Sidakaya
33.01.21.1002                                                          2 Cilacap
33.01.21.1003                                                          3 Tambakreja
33.01.21.1004                                                          4 Tegalkamulyan
33.01.21.1005                                                          5 Tegalreja
33.01.22.1001                                                          1 Lomanis
33.01.22.1002                                                          2 Gunungsimping
33.01.22.1003                                                          3 Sidanegara
33.01.22.1004                                                          4 Donan
33.01.22.1005                                                               5 Kutawaru
33.01.23.1001                                                               1 Mertasinga
33.01.23.1002                                                               2 Gumilir
33.01.23.1003                                                               3 Karangtalun
33.01.23.1004                                                               4 Tritih Kulon
33.01.23.1005                                                               5 Kebonmanis
33.01.24.2001                                                                                         1 Ujunggagak
33.01.24.2002                                                                                         2 Ujungalang
33.01.24.2003                                                                                         3 Panikel
33.01.24.2004                                                                                         4 Klaces
33.02.01.2001                                                                                         1 Cirahab
33.02.01.2002                                                                                         2 Canduk
33.02.01.2003                                                                                         3 Parungkamal
33.02.01.2004                                                                                         4 Besuki
33.02.01.2005                                                                                         5 Karanggayam
33.02.01.2006                                                                                         6 Cidora
33.02.01.2007                                                                                         7 Lumbir
33.02.01.2008                                                                                         8 Dermaji
33.02.01.2009                                                                                         9 Kedunggede
33.02.01.2010                                                                                        10 Cingebul
33.02.02.2001                                                                                         1 Randegan
33.02.02.2002                                                                                         2 Rawaheng
33.02.02.2003                                                                                         3 Pengadegan
33.02.02.2004                                                                                         4 Klapagading
33.02.02.2005                                                                                         5 Wangon
33.02.02.2006                                                                                         6 Banteran
33.02.02.2007                                                                                         7 Jambu
33.02.02.2008                                                                                         8 Jurangbahas
33.02.02.2009                                                                       9 Cikakak
33.02.02.2010                                                                      10 Wlahar
33.02.02.2011                                                                      11 Windunegara
33.02.02.2012                                                                      12 Klapagading Kulon
33.02.03.2001                                                                       1 Gunung Wetan
33.02.03.2002                                                                       2 Pekuncen
33.02.03.2003                                                                       3 Karanglewas
33.02.03.2004                                                                       4 Karanganyar
33.02.03.2005                                                                       5 Margasana
33.02.03.2006                                                                       6 Adisara
33.02.03.2007                                                                       7 Kedungwringin
33.02.03.2008                                                                       8 Bantar
33.02.03.2009                                                                       9 Tinggarjaya
33.02.03.2010                                                                      10 Tunjung
33.02.03.2011                                                                      11 Gentawangi
33.02.04.2001                                                                       1 Losari
33.02.04.2002                                                                       2 Menganti
33.02.04.2003                                                                       3 Banjarparakan
33.02.04.2004                                                                       4 Rawalo
33.02.04.2005                                                                       5 Tambaknegara
33.02.04.2006                                                                       6 Sidamulih
33.02.04.2007                                                                       7 Pesawahan
33.02.04.2008                                                                       8 Tipar
33.02.04.2009                                                                       9 Sanggreman
33.02.05.2001                                                                       1 Adisana
33.02.05.2002                                                                       2 Bangsa
33.02.05.2003                                                                       3 Karangsari
33.02.05.2004                                                                       4 Randegan
33.02.05.2005                                                                       5 Kaliwedi
33.02.05.2006                                                                       6 Sawangan
33.02.05.2007                                                                       7 Kalisalak
33.02.05.2008                                                                           8 Cindaga
33.02.05.2009                                                                           9 Kebasen
33.02.05.2010                                                                          10 Gambarsari
33.02.05.2011                                                                          11 Tumiyang
33.02.05.2012                                                                          12 Mandirancan
33.02.06.2001                                                                           1 Grujugan
33.02.06.2002                                                                           2 Sirau
33.02.06.2003                                                                           3 Sibalung
33.02.06.2004                                                                           4 Sibrama
33.02.06.2005                                                                           5 Kedungpring
33.02.06.2006                                                                           6 Kecila
33.02.06.2007                                                                           7 Nusamangir
33.02.06.2008                                                                           8 Karangjati
33.02.06.2009                                                                           9 Kebarongan
33.02.06.2010                                                                          10 Sidamulya
33.02.06.2011                                                                          11 Pageralang
33.02.06.2012                                                                          12 Alasmalang
33.02.06.2013                                                                          13 Petarangan
33.02.06.2014                                                                          14 Karanggintung
33.02.06.2015                                                                          15 Karangsalam
33.02.07.2001                                                                           1 Nusadadi
33.02.07.2002                                                                           2 Selandaka
33.02.07.2003                                                                           3 Karanggedang
33.02.07.2004                                                                           4 Kemiri
33.02.07.2005                                                                           5 Pandak
33.02.07.2006                                                                           6 Kuntili
33.02.07.2007                                                                           7 Lebeng
33.02.07.2008                                                                           8 Selanegara
33.02.07.2009                                                                           9 Bogangin
33.02.07.2010                                                                          10 Banjarpanepen
33.02.07.2011                                                                          11 Ketanda
33.02.07.1012                                                     1 Kebokura
33.02.07.1013                                                      2 Sumpiuh
33.02.07.1014                                                      3 Kradenan
33.02.08.2001                                                                            1 Plangkapan
33.02.08.2002                                                                            2 Gumelar Lor
33.02.08.2003                                                                            3 Gumelar Kidul
33.02.08.2004                                                                            4 Karangpetir
33.02.08.2005                                                                            5 Gebangsari
33.02.08.2006                                                                            6 Prembun
33.02.08.2007                                                                            7 Buniayu
33.02.08.2008                                                                            8 Pesantren
33.02.08.2009                                                                            9 Karangpucung
33.02.08.2010                                                                           10 Kamulyan
33.02.08.2011                                                                           11 Purwodadi
33.02.08.2012                                                                           12 Watuagung
33.02.09.2001                                                                            1 Tanggeran
33.02.09.2002                                                                            2 Sokawera
33.02.09.2003                                                                            3 Somagede
33.02.09.2004                                                                            4 Klinting
33.02.09.2005                                                                            5 Kemawi
33.02.09.2006                                                                            6 Piasa Kulon
33.02.09.2007                                                                            7 Kanding
33.02.09.2008                                                                            8 Somakaton
33.02.09.2009                                                                            9 Plana
33.02.10.2001                                                                            1 Srowot
33.02.10.2002                                                                            2 Suro
33.02.10.2003                                                                            3 Kaliori
33.02.10.2004                                                                            4 Wlahar Wetan
33.02.10.2005                                                                            5 Pekaja
33.02.10.2006                                                                            6 Karangdadap
33.02.10.2007                                                                            7 Kalibagor
33.02.10.2008                                                                            8 Pajerukan
33.02.10.2009                                                                        9 Petir
33.02.10.2010                                                                       10 Kalicupak Kidul
33.02.10.2011                                                                       11 Kalicupak Lor
33.02.10.2012                                                                       12 Kalisogra Wetan
33.02.11.2001                                                                        1 Binangun
33.02.11.2002                                                                        2 Pasinggangan
33.02.11.2003                                                                        3 Kedunggede
33.02.11.2004                                                                        4 Karangrau
33.02.11.2005                                                                        5 Kejawar
33.02.11.2006                                                                        6 Danaraja
33.02.11.2007                                                                        7 Kedunguter
33.02.11.2008                                                                        8 Sudagaran
33.02.11.2009                                                                        9 Pekunden
33.02.11.2010                                                                       10 Kalisube
33.02.11.2011                                                                       11 Dawuhan
33.02.11.2012                                                                       12 Papringan
33.02.12.2001                                                                        1 Wlahar Kulon
33.02.12.2002                                                                        2 Sokawera
33.02.12.2003                                                                        3 Pegalongan
33.02.12.2004                                                                        4 Patikraja
33.02.12.2005                                                                        5 Notog
33.02.12.2006                                                                        6 Karangendep
33.02.12.2007                                                                        7 Sawangan Wetan
33.02.12.2008                                                                        8 Kedungwuluh Kidul
33.02.12.2009                                                                        9 Kedungrandu
33.02.12.2010                                                                       10 Kedungwuluh Lor
33.02.12.2011                                                                       11 Karanganyar
33.02.12.2012                                                                       12 Sidabowa
33.02.12.2013                                                                       13 Kedungwringin
33.02.13.2001                                                                        1 Gerduren
33.02.13.2002                                                                        2 Karangtalun Kidul
33.02.13.2003                                                                        3 Kaliurip
33.02.13.2004                                                                        4 Karangtalun Lor
33.02.13.2005                                                                        5 Purwojati
33.02.13.2006                                                                        6 Klapasawit
33.02.13.2007                                                                        7 Karangmangu
33.02.13.2008                                                                        8 Kaliputih
33.02.13.2009                                                                        9 Kaliwangi
33.02.13.2010                                                                       10 Kalitapen
33.02.14.2001                                                                        1 Darmakradenan
33.02.14.2002                                                                        2 Tipar Kidul
33.02.14.2003                                                                        3 Sawangan
33.02.14.2004                                                                        4 Jingkang
33.02.14.2005                                                                        5 Banjarsari                                  Srt Sekda Kab. Banyumas No. 140/909 tgl 18 Februari 2016
33.02.14.2006                                                                        6 Kalibenda
33.02.14.2007                                                                        7 Pancurendang
33.02.14.2008                                                                        8 Pancasan
33.02.14.2009                                                                        9 Karangbawang
33.02.14.2010                                                                       10 Kracak
33.02.14.2011                                                                       11 Ajibarang Kulon
33.02.14.2012                                                                       12 Ajibarang Wetan
33.02.14.2013                                                                       13 Lesmana
33.02.14.2014                                                                       14 Pandansari
33.02.14.2015                                                                       15 Ciberung
33.02.15.2001                                                                        1 Karangkemojing
33.02.15.2002                                                                        2 Paningkaban
33.02.15.2003                                                                        3 Cihonje
33.02.15.2004                                                                        4 Gancang
33.02.15.2005                                                                        5 Kedungurang
33.02.15.2006                                                                        6 Gumelar
